keyword,post_count,degree,strength,betweenness,closeness,clustering,community
aquecimento global,1202,15,365,0.0,0.17204301075268819,0.01855243760593683,0
emissões,1655,14,1044,0.0625,0.2909090909090909,0.027516963219977222,1
extinção,1021,14,61,0.25490196078431376,0.3333333333333333,0.006158780594692458,0
efeito estufa,1148,13,803,0.05269607843137255,0.27586206896551724,0.02685628984585053,1
desmatamento,1201,11,393,0.007352941176470588,0.2077922077922078,0.0299964578115083,1
co2,828,11,276,0.012254901960784312,0.24615384615384617,0.02078541474882839,1
energia limpa,911,10,105,0.07720588235294118,0.2711864406779661,0.014780188181481997,2
desertificação,585,10,58,0.09558823529411763,0.3076923076923077,0.007273877026975947,0
eventos climáticos extremos,747,10,69,0.06004901960784313,0.23880597014925373,0.00919870125392199,0
aumento do nível do mar,168,9,45,0.012254901960784312,0.25,0.008678693389988432,0
perda de biodiversidade,151,9,62,0.04166666666666667,0.25,0.012800784004542501,0
derretimento das geleiras,76,8,29,0.10049019607843136,0.25,0.00943954849339688,0
energia renovável,799,8,67,0.13480392156862744,0.3076923076923077,0.011351466995472945,2
catástrofe,967,7,31,0.11519607843137254,0.2909090909090909,0.009188858383131297,0
desinformação,999,6,21,0.04901960784313726,0.25806451612903225,0.005922035099395451,0
antropogênico,33,5,31,0.05637254901960784,0.2857142857142857,0.014571181858288092,0
transição verde,143,4,18,0.0,0.18823529411764706,0.012956598471277591,2
biocombustíveis sustentáveis,7,0,0,0.0,0.0,0.0,3
